//X,Y,Z,R,G,B,Classification,Intensity,GpsTime,ReturnNumber,NumberOfReturns,UserData,PointSourceId
-157.79699707,46.56000137,0.28900000,131,104,85,0.000000,7.000000,-140682.781250,2.000000,3.000000,51.000000,1.000000
-158.26800537,48.40499878,5.37799978,129,119,68,0.000000,6.000000,-140682.781250,1.000000,2.000000,77.000000,1.000000
-160.55099487,51.49399948,1.20500004,117,101,67,0.000000,9.000000,-140682.781250,1.000000,2.000000,55.000000,1.000000
-157.18800354,46.72200012,2.60100007,128,112,86,0.000000,7.000000,-140682.781250,1.000000,3.000000,63.000000,1.000000
-157.30599976,46.45100021,0.26199999,150,129,82,0.000000,37.000000,-140682.781250,2.000000,3.000000,51.000000,1.000000
-159.91400146,51.14500046,1.24000001,165,146,90,0.000000,5.000000,-140682.781250,1.000000,2.000000,56.000000,1.000000
-156.78300476,46.32500076,0.25900000,119,114,76,0.000000,17.000000,-140682.765625,1.000000,2.000000,51.000000,1.000000
-159.40499878,51.03499985,1.18599999,142,119,77,0.000000,16.000000,-140682.765625,1.000000,2.000000,55.000000,1.000000
-155.92599487,46.24000168,2.55699992,132,112,85,0.000000,20.000000,-140682.765625,1.000000,2.000000,63.000000,1.000000
-158.80299377,50.93000031,1.18599999,158,137,94,0.000000,5.000000,-140682.765625,1.000000,2.000000,55.000000,1.000000
-155.77499390,47.58300018,5.40500021,139,126,84,0.000000,9.000000,-140682.750000,1.000000,2.000000,77.000000,1.000000
-158.05000305,50.65499878,1.13900006,144,124,87,0.000000,34.000000,-140682.750000,1.000000,2.000000,55.000000,1.000000
-154.68099976,45.90999985,2.51699996,145,123,100,0.000000,14.000000,-140682.750000,1.000000,3.000000,63.000000,1.000000
-154.79400635,45.63499832,0.15899999,134,106,94,0.000000,23.000000,-140682.750000,2.000000,3.000000,51.000000,1.000000
-154.24400330,45.52000046,0.13300000,132,110,97,0.000000,15.000000,-140682.734375,1.000000,2.000000,51.000000,1.000000
-156.83900452,50.19699860,1.10399997,146,115,87,0.000000,18.000000,-140682.734375,1.000000,2.000000,55.000000,1.000000
-153.38200378,45.44599915,2.48600006,155,131,97,0.000000,50.000000,-140682.734375,1.000000,3.000000,63.000000,1.000000
-153.49200439,45.17200089,0.15099999,141,128,93,0.000000,12.000000,-140682.734375,2.000000,3.000000,51.000000,1.000000
-153.96499634,47.03300095,5.41900015,144,120,82,0.000000,5.000000,-140682.734375,1.000000,2.000000,77.000000,1.000000
-156.23699951,50.09700012,1.06599998,154,132,91,0.000000,13.000000,-140682.734375,1.000000,2.000000,55.000000,1.000000
-155.48100281,49.79199982,1.05400002,113,92,71,0.000000,19.000000,-140682.734375,1.000000,2.000000,55.000000,1.000000
-152.13999939,45.03799820,2.44300008,151,123,83,0.000000,31.000000,-140682.718750,1.000000,3.000000,62.000000,1.000000
-152.24499512,44.76800156,0.14500000,166,139,94,0.000000,10.000000,-140682.718750,2.000000,3.000000,51.000000,1.000000
-151.60499573,44.93399811,2.41499996,167,132,104,0.000000,20.000000,-140682.718750,1.000000,3.000000,62.000000,1.000000
-151.71000671,44.66099930,0.10100000,167,133,106,0.000000,38.000000,-140682.718750,2.000000,3.000000,51.000000,1.000000
-150.84800720,44.57300186,2.36100006,147,124,102,0.000000,7.000000,-140682.703125,1.000000,2.000000,62.000000,1.000000
-151.44599915,46.19499969,5.37500000,180,141,110,0.000000,6.000000,-140682.703125,1.000000,2.000000,77.000000,1.000000
-153.70700073,49.25000000,0.98500001,158,137,94,0.000000,29.000000,-140682.703125,1.000000,2.000000,54.000000,1.000000
-150.33399963,44.26100159,0.03800000,164,133,102,0.000000,35.000000,-140682.703125,1.000000,2.000000,50.000000,1.000000
